Hospital_ID,Hospital,Short_Name,Site_Rate_L95,Site_Rate,Site_Rate_U95,Avg_2014,Color_CY2014,total,Numerator
2,UM,UM,9.4,11.91,14.81,20.38,Green,547,56
3,SJ AA,SJ-AA,14.68,17.88,21.83,20.38,Tan,442,76
8,Chelsea,Chelsea,7.47,10.3,13.2,20.38,Green,367,31
9,Providence,Prov,10.12,12.53,15.77,20.38,Green,424,51
10,Crittenton,Critten,12.75,17.2,21.13,20.38,Tan,216,27
11,St Joe Oak,SJ-Oak,7.74,10.68,13.74,20.38,Green,266,31
12,Munson Cadillac,Cadillac,9.22,13.24,18.08,20.38,Green,88,10
14,Mercy Health Partners,Hackley,9.92,13.48,16.98,20.38,Green,305,51
16,Spectrum,Spectrum,7.89,9.9,12.1,20.38,Green,894,80
17,Sparrow,Sparrow,13.58,16.69,20.36,20.38,Green,316,48
18,McLaren Lansing,MC-Lans,9.26,11.33,14.01,20.38,Green,595,56
20,McLaren Oakland,MC-Oak,9.86,14.72,20.25,20.38,Green,64,11
21,Borgess,Borgess,7.5,10.16,13.77,20.38,Green,318,29
22,McLaren Macomb,MC-Mac,5.89,8.24,11.39,20.38,Green,156,9
23,Beau RO,Beau-RO,11.64,14.08,16.46,20.38,Green,1582,191
24,Beau Troy,Beau-Troy,13.67,16.65,19.63,20.38,Green,464,92
25,Beau GP,Beau-GP,7.37,10.02,13.23,20.38,Green,220,24
26,McLaren Port Huron,MC-PH,10.97,14.74,18.96,20.38,Green,201,31
29,Bronson,Bronson,4.42,6.46,8.96,20.38,Green,272,14
30,St Mary GR,St Mary-GR,13.1,16.5,20.71,20.38,Tan,300,42
31,UP Health-Marquette,Marquet,10.88,14.82,20.12,20.38,Green,118,22
32,McLaren No. MI,MC-No MI,6.84,9.53,12.82,20.38,Green,145,11
33,Munson-TC,Munson,6.22,8.49,10.86,20.38,Green,690,52
34,Henry Ford-Allegiance,HF-Alleg,12.03,16,20.32,20.38,Green,134,26
35,McLaren Flint,MC-Flint,7.78,10.25,13.97,20.38,Green,220,23
36,St John Hospital,St John,10.55,13.71,17.08,20.38,Green,297,39
37,StJohn Macomb,SJMO,15.23,18.66,23.07,20.38,Tan,135,32
38,HF Macomb,HF-Mac,12.86,15.73,19.92,20.38,Green,340,56
39,McLaren Lapeer,MC-Lapeer,8.23,12.24,17.44,20.38,Green,95,14
40,Lakeland,Lakeland,9.73,13.39,16.83,20.38,Green,169,23
41,Beaumont Farm. Hills,Beau-FH,7.37,10.93,15.67,20.38,Green,94,9
42,Mid Michigan-Midland,MidMich-M,11.67,14.65,18.86,20.38,Green,231,40
43,Covenant,Covenant,7.66,10.17,13.06,20.38,Green,302,28
44,Hurley,Hurley,8.31,12.35,17.34,20.38,Green,98,9
45,Genesys,Genesys,13.71,17.03,21.73,20.38,Tan,349,49
46,Bronson Battle Creek,Bron-BC,9.71,13.12,16.98,20.38,Green,198,30
47,HF Det,HF-Det,6.13,8.65,11.68,20.38,Green,185,16
48,HF West Bloomfield,HF-WB,5.42,7.7,10.16,20.38,Green,351,18
49,HF Wyandotte,HF-Wyan,5.77,9.59,15.07,20.38,Green,112,10
50,St Mary- Livonia,St Mary-Liv,5.93,9.16,13.38,20.38,Green,119,10
51,Beaumont-Taylor,Beau-Tay,14.03,19.59,26.91,20.38,Tan,129,23
52,Beaumont Dearborn,Beau-Dear,12,14.9,18.5,20.38,Green,361,53
53,Beaumont Trenton,Beau-Trent,10.06,14.37,19.26,20.38,Green,138,20
54,Metro Health Hospital,Metro,6.1,8.99,12.25,20.38,Green,320,20
55,Garden City Hospital,Gard City,17.55,23.07,29.05,20.38,Tan,69,25
56,Muskegon Surgery Center,Mercy-Musk,,,,,-,,
57,West Branch RMC,West Bran,8.09,11.99,16.35,20.38,Green,53,11
58,Holland Hospital,Holland,5.29,7.63,11.39,20.38,Green,411,19
59,OrthoMichigan,OrthoMich,,,,,-,,
60,Huron Valley Sinai Hospital,HVSinai,10.74,14.21,18.36,20.38,Green,358,35
61,MidMichigan-Gratiot,MidMich-G,10.15,17.93,28.74,20.38,Tan,37,4
62,MidMichigan-Clare,MidMich-C,,,,,-,,
63,U P Health-Bell,Bell,8.55,13.55,20.18,20.38,Green,,
64,U P Health-Portage,Portage,,,,,-,,
65,Memorial Healthcare,Memorial,14.92,19.79,26.28,20.38,Tan,43,12
66,McLaren Bay Region,MC-Bay,10.72,13.76,17.05,20.38,Green,131,23
67,Lake Huron Medical Center,LH,14.94,19.65,26.33,20.38,Tan,94,23
68,Sinai-Grace,Sinai-G,14.15,21.43,31.15,20.38,Tan,48,13
69,Harper,Harper,25.8,31.78,38.23,20.38,Orange,297,82
70,SJ LI,SJ-LI,12.65,17.1,21.82,20.38,Tan,116,20